dataset_name,agglomerative_clustering_rand_score,dataset_name2,cure_clustering_rand_score
banana.arff,0.6641300623009208,banana.arff,0.792026501982852
square2.arff,0.9545065065065065,square2.arff,0.8294914914914915
ds2c2sc13.arff,0.9230261099328999,ds2c2sc13.arff,0.9147573850664626
dpb.arff,0.8556864216054013,dpb.arff,0.8085708927231808
dense-disk-3000.arff,0.500434367011226,dense-disk-3000.arff,0.682705123930199
long2.arff,0.5179499499499499,long2.arff,0.5175675675675676
golfball.arff,1.0,golfball.arff,1.0
disk-6000n.arff,0.5085423126076568,disk-6000n.arff,0.5000555648163583
impossible.arff,0.8913332704591653,impossible.arff,0.8758800159202139
complex9.arff,0.8502841376186447,complex9.arff,0.8508124517499589
long3.arff,0.535985985985986,long3.arff,0.6808828828828829
2d-20c-no0.arff,0.9990164242368373,2d-20c-no0.arff,0.9856716231000291
D31.arff,0.9950520979712498,D31.arff,0.9831075581092756
DS-850.arff,0.9930298621215271,DS-850.arff,0.9882630083835654
2d-4c-no9.arff,0.9854507501630789,2d-4c-no9.arff,0.9351285061969994
aggregation.arff,0.9420081398873832,aggregation.arff,0.997784428434136
donut2.arff,0.5546666666666666,donut2.arff,0.5302822822822822
complex8.arff,0.8385245309413456,complex8.arff,0.8522046717550211
rings.arff,0.6123923923923924,rings.arff,0.488004004004004
square1.arff,0.9735035035035035,square1.arff,0.961071071071071
